crop_path,word_text,char_indices,word_length,language
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\0de97cd9-f220-4380-a690-838b25d7c1c5_word1.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\0de97cd9-f220-4380-a690-838b25d7c1c5_word2.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\0de97cd9-f220-4380-a690-838b25d7c1c5_word3.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\0de97cd9-f220-4380-a690-838b25d7c1c5_word4.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\0de97cd9-f220-4380-a690-838b25d7c1c5_word5.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\0de97cd9-f220-4380-a690-838b25d7c1c5_word6.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\0de97cd9-f220-4380-a690-838b25d7c1c5_word7.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\0de97cd9-f220-4380-a690-838b25d7c1c5_word8.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\0de97cd9-f220-4380-a690-838b25d7c1c5_word9.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\0de97cd9-f220-4380-a690-838b25d7c1c5_word10.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\0de97cd9-f220-4380-a690-838b25d7c1c5_word11.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\0de97cd9-f220-4380-a690-838b25d7c1c5_word12.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\0de97cd9-f220-4380-a690-838b25d7c1c5_word13.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\0de97cd9-f220-4380-a690-838b25d7c1c5_word14.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\0de97cd9-f220-4380-a690-838b25d7c1c5_word15.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\0de97cd9-f220-4380-a690-838b25d7c1c5_word16.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\0de97cd9-f220-4380-a690-838b25d7c1c5_word17.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\0de97cd9-f220-4380-a690-838b25d7c1c5_word18.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\0de97cd9-f220-4380-a690-838b25d7c1c5_word19.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\0de97cd9-f220-4380-a690-838b25d7c1c5_word20.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\0de97cd9-f220-4380-a690-838b25d7c1c5_word21.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\0de97cd9-f220-4380-a690-838b25d7c1c5_word22.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\0de97cd9-f220-4380-a690-838b25d7c1c5_word23.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\0de97cd9-f220-4380-a690-838b25d7c1c5_word24.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\0de97cd9-f220-4380-a690-838b25d7c1c5_word25.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\0de97cd9-f220-4380-a690-838b25d7c1c5_word26.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\0de97cd9-f220-4380-a690-838b25d7c1c5_word27.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\0de97cd9-f220-4380-a690-838b25d7c1c5_word28.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\0de97cd9-f220-4380-a690-838b25d7c1c5_word29.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\0de97cd9-f220-4380-a690-838b25d7c1c5_word30.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\0de97cd9-f220-4380-a690-838b25d7c1c5_word31.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\0fa5d7d8-9c2c-4d63-bde7-1803dc51da77_word1.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\0fa5d7d8-9c2c-4d63-bde7-1803dc51da77_word2.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\0fa5d7d8-9c2c-4d63-bde7-1803dc51da77_word3.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\0fa5d7d8-9c2c-4d63-bde7-1803dc51da77_word4.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\0fa5d7d8-9c2c-4d63-bde7-1803dc51da77_word5.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\0fa5d7d8-9c2c-4d63-bde7-1803dc51da77_word6.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\0fa5d7d8-9c2c-4d63-bde7-1803dc51da77_word7.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\0fa5d7d8-9c2c-4d63-bde7-1803dc51da77_word8.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\0fa5d7d8-9c2c-4d63-bde7-1803dc51da77_word9.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\0fa5d7d8-9c2c-4d63-bde7-1803dc51da77_word10.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\0fa5d7d8-9c2c-4d63-bde7-1803dc51da77_word11.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\0fa5d7d8-9c2c-4d63-bde7-1803dc51da77_word12.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\0fa5d7d8-9c2c-4d63-bde7-1803dc51da77_word13.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\0fa5d7d8-9c2c-4d63-bde7-1803dc51da77_word14.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\0fa5d7d8-9c2c-4d63-bde7-1803dc51da77_word15.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\0fa5d7d8-9c2c-4d63-bde7-1803dc51da77_word16.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\0fa5d7d8-9c2c-4d63-bde7-1803dc51da77_word17.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\0fa5d7d8-9c2c-4d63-bde7-1803dc51da77_word18.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\0fa5d7d8-9c2c-4d63-bde7-1803dc51da77_word19.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\0fa5d7d8-9c2c-4d63-bde7-1803dc51da77_word20.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\0fa5d7d8-9c2c-4d63-bde7-1803dc51da77_word21.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\0fa5d7d8-9c2c-4d63-bde7-1803dc51da77_word22.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\1b311405-5724-4aee-a8d8-9b58aba62012_word1.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\1b311405-5724-4aee-a8d8-9b58aba62012_word2.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\1b311405-5724-4aee-a8d8-9b58aba62012_word3.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\1b311405-5724-4aee-a8d8-9b58aba62012_word4.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\1b311405-5724-4aee-a8d8-9b58aba62012_word5.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\1b311405-5724-4aee-a8d8-9b58aba62012_word6.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\1b311405-5724-4aee-a8d8-9b58aba62012_word7.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\1b311405-5724-4aee-a8d8-9b58aba62012_word8.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\1b311405-5724-4aee-a8d8-9b58aba62012_word9.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\1b311405-5724-4aee-a8d8-9b58aba62012_word10.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\1b311405-5724-4aee-a8d8-9b58aba62012_word11.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\1b311405-5724-4aee-a8d8-9b58aba62012_word12.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\1b311405-5724-4aee-a8d8-9b58aba62012_word13.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\1b311405-5724-4aee-a8d8-9b58aba62012_word14.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\2cae9c49-a912-440c-aefa-d3f0b2e7dc66_word1.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\2cae9c49-a912-440c-aefa-d3f0b2e7dc66_word2.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\2cae9c49-a912-440c-aefa-d3f0b2e7dc66_word3.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\2cae9c49-a912-440c-aefa-d3f0b2e7dc66_word4.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\2cae9c49-a912-440c-aefa-d3f0b2e7dc66_word5.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\2cae9c49-a912-440c-aefa-d3f0b2e7dc66_word6.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\2cae9c49-a912-440c-aefa-d3f0b2e7dc66_word7.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\2cae9c49-a912-440c-aefa-d3f0b2e7dc66_word8.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\2cae9c49-a912-440c-aefa-d3f0b2e7dc66_word9.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\2cae9c49-a912-440c-aefa-d3f0b2e7dc66_word10.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\2cae9c49-a912-440c-aefa-d3f0b2e7dc66_word11.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\2cae9c49-a912-440c-aefa-d3f0b2e7dc66_word12.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\2cae9c49-a912-440c-aefa-d3f0b2e7dc66_word13.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\2cae9c49-a912-440c-aefa-d3f0b2e7dc66_word14.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\2cae9c49-a912-440c-aefa-d3f0b2e7dc66_word15.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\2cae9c49-a912-440c-aefa-d3f0b2e7dc66_word16.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\2cae9c49-a912-440c-aefa-d3f0b2e7dc66_word17.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\2cae9c49-a912-440c-aefa-d3f0b2e7dc66_word18.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\2cae9c49-a912-440c-aefa-d3f0b2e7dc66_word19.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\2cae9c49-a912-440c-aefa-d3f0b2e7dc66_word20.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\2cae9c49-a912-440c-aefa-d3f0b2e7dc66_word21.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\2cae9c49-a912-440c-aefa-d3f0b2e7dc66_word22.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\2cae9c49-a912-440c-aefa-d3f0b2e7dc66_word23.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\2cae9c49-a912-440c-aefa-d3f0b2e7dc66_word24.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\2cae9c49-a912-440c-aefa-d3f0b2e7dc66_word25.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\2cae9c49-a912-440c-aefa-d3f0b2e7dc66_word26.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\2cae9c49-a912-440c-aefa-d3f0b2e7dc66_word27.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\2cae9c49-a912-440c-aefa-d3f0b2e7dc66_word28.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\2cae9c49-a912-440c-aefa-d3f0b2e7dc66_word29.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\2cae9c49-a912-440c-aefa-d3f0b2e7dc66_word30.jpg,,,0,english
C:\Users\T2510600\Downloads\BAOCR\out\d1_conv\crops\2cae9c49-a912-440c-aefa-d3f0b2e7dc66_word31.jpg,,,0,english
